Participant ID,PCC,CCC,KendallTau
P42,0.051858925332567335,0.00034398631785134665,-0.0158852643398325
P65,0.18887294820534056,0.002069947696487212,0.05832993204996995
P37,-0.20545003243501947,-0.0023505648898598554,-0.15991655098360516
P56,-0.23033673415846773,-0.0018021759406827295,-0.1830551531479113
P21,0.029578688597888328,0.00018399162315349118,0.1560232220609579
P45,0.11123833833985866,0.0008562558713807616,0.06504439088570173
P23,-0.19798268717107795,-0.002313084257454967,-0.022675737054728168
P25,-0.04785393447451254,-0.0014429857877160143,-0.0069872207705426554
P19,0.02461027059218512,0.0001779998690001376,0.010573254364329893
P28,0.07298625543000883,0.00038202417897699475,0.03265898696658057
P30,0.0014950451167864056,1.5522375788307462e-05,0.08956037224108795
P34,-0.15750550898009058,-0.0003337251394524693,-0.01867439844679238
P26,0.2929898743294487,0.003296882632786759,0.024793773836034583
P64,-0.09100798785667058,-0.0004903221586078743,-0.06160127171373449
P16,-0.02098083793842833,-0.00018502800209956104,0.024492017819611706
P46,-0.02833622292947843,-0.000256396060018843,0.0008503401398498696
P39,0.015599739661824883,2.3887716637297278e-05,0.01741970668771727
P41,0.18438453929460485,0.0007651760650920188,0.16526077097505668
