Participant ID,PCC,CCC,KendallTau
P42,-0.0017864693247206715,-1.3102500874420164e-05,-0.16489795918367345
P65,-0.04835686713689283,-0.00015098645391287003,-0.04790419240541356
P37,0.03199644273463105,0.00015217677404482857,0.10276177961680165
P56,-0.023370464294363208,-0.0002190450411507527,0.1503152357875889
P21,-0.08349183568820623,-0.000521174915274306,-0.07473245057137674
P45,-0.08977012497055345,-0.0007627579022452721,-0.17922535688609847
P23,-0.021989737756936623,-0.00018120145033740336,0.05579496490204032
P25,-0.13278725401030742,-0.0015148371379338464,-0.04780729980693205
P19,-0.16460423049685075,-0.0012522283750467282,-0.02537464374367932
P28,0.034926306970244125,0.00011764608641667283,0.01387692169582582
P30,0.13070275050504268,0.000959238542407813,0.1306003990567749
P34,0.04371108110712979,0.00029954068448179806,0.01379056725199963
P26,0.1652520061871317,0.0017159548551919609,0.12703886662317085
P64,0.131785142315397,0.0012151877498803407,0.10359216255442669
P16,-0.10853193568022608,-0.0009401945894750892,-0.10150120197295655
P46,-0.07947503840023928,-0.0010497542056591368,-0.04846938797144257
P39,0.0857611142611757,0.00024814730957776397,0.036069640831289614
P41,-0.032359444462506014,-0.00016199082028354816,0.10386900979229245
