Participant ID,PCC,CCC,KendallTau
P42,-0.123900946912449,-0.00010953742382029722,-0.03601397108082105
P65,-0.1324258636617203,-0.00032499092324393805,-0.07047299449448799
P37,-0.056528391392706594,-2.6889519695797995e-05,-0.006984443803594781
P56,-0.08437454377473,-3.310133478711724e-05,-0.1343371593912191
P21,0.088533924518251,2.7199359574442485e-05,-0.1307936513316721
P45,0.013146048650743886,4.489387991804167e-06,0.032925598993146274
P23,-0.4042545181252354,-0.00044772675404216304,-0.2641269852134737
P25,-0.3759788149215386,-0.0006806049743534595,-0.2702951192815185
P19,-0.05733069696469142,-3.2892099944934615e-05,-0.108214959885359
P28,-0.09635138341248366,-0.00013137437007265513,-0.04227524424007373
P30,0.023257196578024573,3.5054747901539345e-05,0.039816788395212646
P34,0.009374560366614559,4.340897052586155e-06,-0.06485443795560901
P26,-0.11315914884876574,-9.319020363311523e-05,-0.037649690176467326
P64,0.02230949939057338,1.2377857419447019e-05,0.017962442831619314
P16,-0.19192217164935987,-0.00024906047278546546,-0.1776124847807397
P46,0.011612261984338705,1.0659781499715379e-05,0.06075207888038513
P39,-0.07597618335682983,-2.969032549109077e-05,-0.07718470825586779
P41,0.1942348462256053,3.386748518483523e-06,0.01823046575726137
