Participant ID,PCC,CCC,KendallTau
P42,0.4773921806331805,0.4769206349562786,0.27695378768198153
P65,0.49842074963689936,0.33758893703374493,0.32896467314222383
P37,0.39306427057564075,0.3099293738524735,0.2250442217755669
P56,0.47150582003971625,0.43931835241018274,0.2783799744575634
P21,-0.10252650322093508,-7.610320768531437e-05,0.2323809533368543
P45,0.35139071400096783,0.31528928145261936,0.24850549854603698
P23,0.5995334511414947,0.538041546465347,0.4038095254705993
P25,0.599992761583899,0.46156008963992007,0.5036315181714824
P19,0.6748445590010582,0.46140055900884236,0.36031812046790307
P28,0.4424807408850975,0.37299953621949655,0.29810397547828815
P30,0.39549289500805135,0.32024723010359574,0.23282390845218873
P34,0.21570767794260354,0.06656441616763925,0.12832899425258804
P26,0.3821958055367361,0.24831956079623324,0.22999860236515188
P64,0.35373850120147365,0.336616613126686,0.24984125029434132
P16,0.35660059916990555,0.29242660871501747,0.23203919104654352
P46,0.3184878924094203,0.1793228639345116,0.1644935759420692
P39,0.13316674309477708,0.13146816363248448,0.08970114743249501
P41,0.18397152742302275,1.1853542960083097e-05,0.3148156549425583
