Participant ID,PCC,CCC,KendallTau
P42,0.47688864154245425,0.41353700630976,0.2825781358104725
P65,0.20383664972808951,0.0984841104583117,0.14938098060800734
P37,0.1922315569703338,0.10864254046250285,0.1354256441398313
P56,0.2179936578133739,0.1352669481330725,0.08753231520089565
P21,0.4285037404384876,0.25206577238310995,0.32344671334864267
P45,0.37544837618930854,0.2712519338440007,0.23305437946545438
P23,0.6364581591100769,0.366633788111498,0.42902494507545696
P25,0.7113804709271913,0.25959231521388587,0.4810149877826207
P19,0.6258155244225173,0.29902896480919805,0.35351446113781254
P28,0.3874863613503859,0.2853884039051199,0.26725937667651767
P30,0.5886436018712478,0.2986168402101255,0.3969887991021543
P34,0.029983786405379607,0.0025792860473440047,0.02345798819670964
P26,0.40250672577460606,0.18761175368662317,0.2739853691059751
P64,0.5023747729831751,0.32312622399224156,0.32531979795043864
P16,0.4369128494386986,0.20422675029385653,0.2529027617817683
P46,0.3167564721453008,0.16575577435762032,0.1278344676907637
P39,0.17387777809752586,0.08048658687064536,0.13904131346209792
P41,0.5296728907608831,0.41962005062332475,0.3385787496112273
