Participant ID,PCC,CCC,KendallTau
P42,-0.07652880106398462,-0.00011527039035062032,0.034012062979965244
P65,-0.16711481661793917,-0.0006149619813281171,-0.0393650795270081
P37,-0.02001020662514499,-1.2545009813167719e-05,-0.02049700707418828
P56,0.04278421764146997,2.522456398317196e-05,0.0031747471834521735
P21,-0.06230193817314244,-2.5651057866650506e-05,-0.21403954289860327
P45,0.04236792049521124,3.6475277290942905e-05,0.04449756385450849
P23,-0.29623844958882006,-0.00039892043860596495,-0.18241190245492342
P25,-0.07588229511015775,-0.00018974474428333716,-0.047897035214931195
P19,0.04044168338189202,2.513040546987899e-05,-0.08246380151207923
P28,-0.14000356969291453,-0.0002527533399247615,-0.11455262811652293
P30,0.0040024691118108816,1.0733433437920506e-05,0.037910393615091596
P34,-0.15610432535892016,-0.00025891554759212304,-0.1039760975587086
P26,-0.06377199648600879,-9.093046436092519e-05,-0.009599254468528346
P64,-0.13647933420050715,-0.00016063083895941606,-0.06185941068529845
P16,-0.21746488259993965,-0.0004279275256779431,-0.12045351523471604
P46,-0.03669691018030729,-5.886975076907686e-05,0.006708238881037859
P39,-0.2930768982743032,-0.00018623867576780567,-0.204625851181867
P41,0.2603519751097401,3.938262863028646e-06,0.12001633183860516
