Game,Average PCC,Average CCC,Average KendallTau
Heist!,0.30871411159097867,0.008334589104596153,0.29164053367838855
Shootout,0.45687294565596276,0.010211770827411063,0.3817150481684857
TopDown,0.4289316656541128,0.01043792072034981,0.3956791684417951
