GroupID,CCC,PCC,KendallTau
P30,0.4162556314636948,0.4187298166206393,0.34224841298632463
P42,0.39175292943593554,0.39374080299251046,0.3208593567253478
P65,0.3664603691715245,0.36767219640244886,0.2929314589051424
P37,0.475542224563573,0.4790623429604957,0.4147672790081927
P56,0.6128276642933415,0.617390152726359,0.5242578419128288
P64,0.6127903332297232,0.6195599147084194,0.5147698836666202
P16,0.3540390746265775,0.355365703338862,0.3241690666871187
P21,0.48427054235232,0.48587803592003587,0.43916125961203856
P34,0.3479249528357518,0.34873102261714284,0.3108576381682143
P45,0.7208689796949788,0.7226951470616103,0.5832805189636714
P23,0.6628733792615954,0.6654646603939937,0.5643708464642971
P25,0.6874704510642933,0.6884794090750843,0.5902830944605534
P26,0.5496315755614295,0.551360857554445,0.46591514138871004
P39,0.4213022116501281,0.42593340186595197,0.3632412090493125
P19,0.6341481796520843,0.6358078993128902,0.5424504586437564
P28,0.5505976935549857,0.5532048496915902,0.4842781757403932
P41,0.593843809932669,0.5960514326239919,0.5105799247550922
P46,0.6984605488416049,0.700053467325858,0.600535790881046
