GroupID,CCC,PCC,KendallTau
P30,0.2390592083969502,0.24156097256490391,0.21903613361865726
P42,0.21566456777170764,0.2183695313545546,0.19299017553384984
P65,0.26358568577703984,0.268074408713086,0.24519732043868456
P37,0.46041859258346873,0.47384160096331124,0.41446942516553364
P56,0.6201156146171486,0.6377123408270443,0.5316811157869739
P64,0.6182839348579006,0.6355268510523191,0.5251988619162788
P16,0.4331190615129514,0.4343928385486832,0.4033654742274448
P21,0.36881806576913,0.3693974686118559,0.3584880724300212
P34,0.13671651875212856,0.13702344576645348,0.14261521924768072
P45,0.36756614761213846,0.3695375009942328,0.33078565170274105
P23,0.7028953816694649,0.7052499320326556,0.6049860278230736
P25,0.5998001914539213,0.6012512195718572,0.5394691283461417
P26,0.5150236992164545,0.5168491730928642,0.45846656927829293
P39,0.614287865989042,0.623524365169538,0.5178106911287707
P19,0.48722433347511307,0.4877357759992086,0.44365162474903713
P28,0.26506755887770556,0.265618033106151,0.24880350535793835
P41,0.47055289064529526,0.4716108751381194,0.413306626670703
P46,0.4688907204097535,0.4699018291555812,0.42639168255285764
