Participant ID,PCC,CCC,KendallTau
P16,0.3853254245975404,0.04822161925722089,0.28659738849703964
P19,0.7505533257498845,0.13394317885340684,0.6912177462769059
P21,0.6833880401432613,0.16957608353214249,0.5274462334679518
P23,0.745217464913362,0.16831572639000378,0.6443555994324133
P25,0.7010161141383787,0.15647606087772667,0.53452782894057
P26,0.46900412143494397,0.048677183963945714,0.36932775038194193
P28,0.744750210497018,0.12405433587416624,0.6580048534809361
P30,0.6110442186379998,0.10316795894516284,0.4829739982260705
P34,0.4671488993962404,0.05523473710545246,0.2793722716882589
P37,0.5738717353184228,0.1018643178688712,0.49860563476618996
P39,0.5135514854204464,0.10259401044449389,0.38482600925718635
P41,0.15487419665434468,0.019475417193170384,0.21876514096119393
P42,0.442271617235208,0.07137082493805434,0.3279476752287526
P45,0.5436331516464495,0.0938952857205225,0.32868186013166784
P46,0.33378340650912297,0.04347631759550774,0.22581791070442672
P56,0.46732158033907023,0.06658202779181781,0.31444167384298155
P64,0.6670625047031721,0.07109104719238314,0.5771513024577137
P65,0.43323657916085706,0.05527406981637385,0.3502392320350304
