Participant ID,PCC,CCC,KendallTau
P16,0.7140630844425223,0.20931399104693973,0.5471231546078676
P19,0.5724606467813542,0.1464772607227781,0.4886281991040141
P21,0.5812539156253191,0.0816897526878655,0.472152660190296
P23,0.6738648749643126,0.1978816367076871,0.5397108401044959
P25,0.7804357861520015,0.2585461016092442,0.6356165508578715
P26,0.7800000199098811,0.24591999608049195,0.7223745660040729
P28,0.6217648133964248,0.15564159855945062,0.4957263009866729
P30,0.7457315395595716,0.20107119289929185,0.7444472600920212
P34,0.6656838523035159,0.14333459872477328,0.7002875242294623
P37,0.6606315972614312,0.09641349960413144,0.5009463208176748
P39,0.7166984923450739,0.08816250427740903,0.6098824080817514
P41,0.5735485978200895,0.11029015517153923,0.4950592284526606
P42,0.7938512848696577,0.1579872736867296,0.6254884538937326
P45,0.8425752021061547,0.22056129566765642,0.7766810101344733
P46,0.8025525268451522,0.2696670454558575,0.6603677323668136
P56,0.7184173665745244,0.14408409122229257,0.5545764427129997
P64,0.7687350387741133,0.1948107198615082,0.7217019291736031
P65,0.8350210636570706,0.18031088091451225,0.7532950200330626
