Target,Participant ID,PCC,CCC,KendallTau
arousal_quartile,P42,0.5620351857940756,0.49576988155668295,0.5024339084720754
arousal_quartile,P65,0.64144528252763,0.6414246751163156,0.5690905821553846
arousal_quartile,P37,0.5002557781685145,0.46023273350978156,0.4456641831161365
arousal_quartile,P56,0.6612833202116023,0.6346030943923435,0.5588172015178083
arousal_quartile,P21,0.5438025388961228,0.49325348415954995,0.45062461464142856
arousal_quartile,P45,0.775430328329262,0.7743589743589736,0.6778774428961232
arousal_quartile,P23,0.7236682730568481,0.6524521531100488,0.6390866169817376
arousal_quartile,P25,0.6146998353033525,0.5094786729857821,0.547376968566979
arousal_quartile,P19,0.5304122625709814,0.5000000000000007,0.46055951168018366
arousal_quartile,P28,0.4314625359426188,0.42603103724784264,0.36049282063093013
arousal_quartile,P30,0.5022022223471774,0.3719064454718521,0.4612292563858709
arousal_quartile,P34,0.5505854335315251,0.4015957446808509,0.5299234052504065
arousal_quartile,P26,0.6846880394721521,0.6061860691670727,0.6356124754966019
arousal_quartile,P64,0.4674482335186294,0.4295477315013593,0.4023109709131791
arousal_quartile,P16,0.502575726262211,0.4563318046396411,0.4158948973235928
arousal_quartile,P46,0.3757975767671974,0.37468354430379774,0.3138034758860609
arousal_quartile,P39,0.4669316844537882,0.26445041554708437,0.4171263633542666
arousal_quartile,P41,0.405631439142865,0.3402232822143578,0.33810458992722126
