Target,Participant ID,PCC,CCC,KendallTau
valence_quartile,P42,0.5434301615632418,0.4047717442212854,0.4735505862320793
valence_quartile,P65,0.7291281279645788,0.7213834242531941,0.6412859627671625
valence_quartile,P37,0.486680765480636,0.406809848088004,0.39784437728470157
valence_quartile,P56,0.5204296143735231,0.514363316823774,0.46064032985882286
valence_quartile,P21,0.592008419735177,0.5919573364081872,0.5048119027192584
valence_quartile,P45,0.4173248502791055,0.36855670103092764,0.3818934857637353
valence_quartile,P23,0.67156658943009,0.6521907065007472,0.5865274823591389
valence_quartile,P25,0.504161593232512,0.42204301075268813,0.43532991912957913
valence_quartile,P19,0.647529338276359,0.6218905472636812,0.5592332784767047
valence_quartile,P28,0.5635008683988393,0.541817141631208,0.4804585207101809
valence_quartile,P30,0.7116180428432058,0.7068704600484266,0.6133398952090244
valence_quartile,P34,0.06612263066438769,0.038803424410404366,0.010858245677720472
valence_quartile,P26,0.5546066167246952,0.5328528059367622,0.47265521589415166
valence_quartile,P64,0.4921111057150864,0.48553537639232974,0.4215065198629206
valence_quartile,P16,0.6056934158009226,0.5962182571097979,0.5367773756289415
valence_quartile,P46,0.4203614935108264,0.387258770356553,0.35248009277282305
valence_quartile,P39,0.4147251238233682,0.2590697473298832,0.37235942763226143
valence_quartile,P41,0.5039826779340545,0.3483543548025973,0.42709606905922076
