Participant ID,PCC,CCC,KendallTau
P42,0.06618246946401837,0.002994772709076591,0.03699778610298471
P65,0.3894740351839906,0.016641752111179534,0.2992411611749178
P37,0.14532353110638407,0.0056309229774808974,0.10888467619945759
P56,0.32345153955870076,0.012368055426957382,0.24863279054700085
P21,0.38385637409257733,0.015330076897464672,0.25342524988676574
P45,0.10295481680327882,0.005906693329821082,0.1263864633327459
P23,0.44507177351997607,0.0204099632144339,0.3122766505790782
P25,0.26681795163296373,0.007541008879172104,0.21666250857042152
P19,0.10840758625391482,0.006652404389284932,0.028425787117550564
P28,0.2560384328838437,0.01625085625690309,0.1736787264730785
P30,-0.017881246938408226,-0.001196007830667897,-0.029904946280132717
P34,0.29231235728315885,0.025270891365793597,0.2092851113251921
P26,0.38634429660751723,0.014571066922319981,0.26556505370850253
P64,0.26386125309072145,0.009429776461323062,0.18422213702056117
P16,0.3307006456473375,0.018982280815297067,0.2298463499351226
P46,0.19604743324267865,0.010828172391144392,0.17288356855010015
P39,0.3270680266367304,0.01699368515186095,0.22543728734253893
P41,0.21796074984941752,0.007384764531518505,0.1788545825600245
