Participant ID,PCC,CCC,KendallTau
P42,0.04743530952391457,0.0012264916468667422,0.0508000690015075
P65,0.1246479820761302,0.002933288143718341,0.07265368359083527
P37,0.11180421261761264,0.00199944595894451,0.0903998872399386
P56,0.13347863058338538,0.0020363669817218943,0.14089830458908684
P21,0.0648465209495343,0.0024006784112499415,0.15834285658583092
P45,-0.06096036738148203,-0.0016861748730882527,-0.036509930803286406
P23,0.3322203187787385,0.00520103435894824,0.2407731572297865
P25,0.3697727958562548,0.004102978008915782,0.2945134637108687
P19,0.05777523732933995,0.0012715745798895562,0.054359769175374564
P28,0.050289533834243866,0.0015582347336752878,0.0438989275522461
P30,-0.037079407702724956,-0.0019555565447040963,-0.013035489404160416
P34,0.07734497707083593,0.005560484130256822,0.06553301263575813
P26,0.23178969316264192,0.003428913307607131,0.13332449635161556
P64,-0.017676504127539655,-0.0002481115365198935,-0.050608370627916906
P16,0.2624298562725148,0.008463772843220242,0.21615357288124953
P46,-0.06715206925509898,-0.00212171586489444,-0.04332058601241478
P39,0.0691072360213297,0.001725865304164148,0.05693441695640652
P41,-0.13556518121875194,-0.009953871658476306,0.1286296086792888
